name,Band A (6/9),Band B (7/9),Band C (8/9),Band D (9/9),Band E (11/9),Band F (13/9),Band G (15/9),Band H (18/9)
Adderbury,"1,529.62","1,784.56","2,039.49","2,294.43","2,804.30","3,314.18","3,824.05","4,588.86"
Ambrosden,"1,523.23","1,777.10","2,030.97","2,284.84","2,792.58","3,300.32","3,808.07","4,569.68"
Ardley,"1,528.75","1,783.54","2,038.33","2,293.12","2,802.70","3,312.28","3,821.87","4,586.24"
Arncott,"1,533.27","1,788.82","2,044.36","2,299.91","2,811.00","3,322.09","3,833.18","4,599.82"
Banbury,"1,581.95","1,845.61","2,109.27","2,372.93","2,900.25","3,427.57","3,954.88","4,745.86"
Barford,"1,522.27","1,775.98","2,029.69","2,283.40","2,790.82","3,298.24","3,805.67","4,566.80"
Begbroke,"1,553.87","1,812.85","2,071.83","2,330.81","2,848.77","3,366.73","3,884.68","4,661.62"
Bicester,"1,586.35","1,850.74","2,115.13","2,379.52","2,908.30","3,437.08","3,965.87","4,759.04"
Blackthorn,"1,557.74","1,817.36","2,076.99","2,336.61","2,855.86","3,375.10","3,894.35","4,673.22"
Bletchingdon,"1,532.21","1,787.57","2,042.94","2,298.31","2,809.05","3,319.78","3,830.52","4,596.62"
Bloxham,"1,539.23","1,795.76","2,052.30","2,308.84","2,821.92","3,334.99","3,848.07","4,617.68"
Bodicote,"1,520.68","1,774.13","2,027.57","2,281.02","2,787.91","3,294.81","3,801.70","4,562.04"
Bourton,"1,524.69","1,778.81","2,032.92","2,287.04","2,795.27","3,303.50","3,811.73","4,574.08"
Broughton,"1,531.47","1,786.72","2,041.96","2,297.21","2,807.70","3,318.19","3,828.68","4,594.42"
Bucknell,"1,541.01","1,797.85","2,054.68","2,311.52","2,825.19","3,338.86","3,852.53","4,623.04"
Caversfield,"1,506.79","1,757.92","2,009.05","2,260.18","2,762.44","3,264.70","3,766.97","4,520.36"
Charlton on Otmoor,"1,531.93","1,787.26","2,042.58","2,297.90","2,808.54","3,319.19","3,829.83","4,595.80"
Chesterton,"1,582.76","1,846.55","2,110.35","2,374.14","2,901.73","3,429.31","3,956.90","4,748.28"
Claydon,"1,540.80","1,797.60","2,054.40","2,311.20","2,824.80","3,338.40","3,852.00","4,622.40"
Cottisford,"1,495.56","1,744.82","1,994.08","2,243.34","2,741.86","3,240.38","3,738.90","4,486.68"
Cropredy,"1,526.71","1,781.17","2,035.62","2,290.07","2,798.97","3,307.88","3,816.78","4,580.14"
Deddington,"1,541.29","1,798.18","2,055.06","2,311.94","2,825.70","3,339.47","3,853.23","4,623.88"
Drayton,"1,529.75","1,784.70","2,039.66","2,294.62","2,804.54","3,314.45","3,824.37","4,589.24"
Duns Tew,"1,556.39","1,815.79","2,075.19","2,334.59","2,853.39","3,372.19","3,890.98","4,669.18"
Epwell,"1,524.93","1,779.08","2,033.24","2,287.39","2,795.70","3,304.01","3,812.32","4,574.78"
Fencot and Murcott,"1,550.59","1,809.03","2,067.46","2,325.89","2,842.75","3,359.62","3,876.48","4,651.78"
Finmere,"1,539.60","1,796.20","2,052.80","2,309.40","2,822.60","3,335.80","3,849.00","4,618.80"
Fringford,"1,536.47","1,792.55","2,048.63","2,304.71","2,816.87","3,329.03","3,841.18","4,609.42"
Fritwell,"1,513.51","1,765.77","2,018.02","2,270.27","2,774.77","3,279.28","3,783.78","4,540.54"
Godington,"1,495.56","1,744.82","1,994.08","2,243.34","2,741.86","3,240.38","3,738.90","4,486.68"
Gosford and Water Eaton,"1,587.95","1,852.60","2,117.26","2,381.92","2,911.24","3,440.55","3,969.87","4,763.84"
Hampton Gay and Poyle,"1,501.62","1,751.89","2,002.16","2,252.43","2,752.97","3,253.51","3,754.05","4,504.86"
Hanwell,"1,578.61","1,841.72","2,104.82","2,367.92","2,894.12","3,420.33","3,946.53","4,735.84"
Hardwick with Tusmore,"1,495.56","1,744.82","1,994.08","2,243.34","2,741.86","3,240.38","3,738.90","4,486.68"
Hethe,"1,550.55","1,808.98","2,067.40","2,325.83","2,842.68","3,359.53","3,876.38","4,651.66"
Heyford Park,"1,521.91","1,775.56","2,029.21","2,282.86","2,790.16","3,297.46","3,804.77","4,565.72"
Hook Norton,"1,545.35","1,802.90","2,060.46","2,318.02","2,833.14","3,348.25","3,863.37","4,636.04"
Horley,"1,530.45","1,785.53","2,040.60","2,295.68","2,805.83","3,315.98","3,826.13","4,591.36"
Hornton,"1,557.77","1,817.39","2,077.02","2,336.65","2,855.91","3,375.16","3,894.42","4,673.30"
Horton cum Studley,"1,520.45","1,773.86","2,027.27","2,280.68","2,787.50","3,294.32","3,801.13","4,561.36"
Islip,"1,544.35","1,801.75","2,059.14","2,316.53","2,831.31","3,346.10","3,860.88","4,633.06"
Kidlington,"1,608.54","1,876.63","2,144.72","2,412.81","2,948.99","3,485.17","4,021.35","4,825.62"
Kirtlington,"1,541.77","1,798.73","2,055.69","2,312.65","2,826.57","3,340.49","3,854.42","4,625.30"
Launton,"1,551.05","1,809.55","2,068.06","2,326.57","2,843.59","3,360.60","3,877.62","4,653.14"
Lower Heyford,"1,523.87","1,777.84","2,031.82","2,285.80","2,793.76","3,301.71","3,809.67","4,571.60"
Merton,"1,593.27","1,858.81","2,124.36","2,389.90","2,920.99","3,452.08","3,983.17","4,779.80"
Middle Aston,"1,495.56","1,744.82","1,994.08","2,243.34","2,741.86","3,240.38","3,738.90","4,486.68"
Middleton Stoney,"1,528.94","1,783.76","2,038.59","2,293.41","2,803.06","3,312.70","3,822.35","4,586.82"
Milcombe,"1,531.23","1,786.44","2,041.64","2,296.85","2,807.26","3,317.67","3,828.08","4,593.70"
Milton,"1,499.35","1,749.24","1,999.13","2,249.02","2,748.80","3,248.58","3,748.37","4,498.04"
Mixbury,"1,512.51","1,764.59","2,016.68","2,268.76","2,772.93","3,277.10","3,781.27","4,537.52"
Mollington,"1,541.91","1,798.90","2,055.88","2,312.87","2,826.84","3,340.81","3,854.78","4,625.74"
Newton Purcell,"1,495.56","1,744.82","1,994.08","2,243.34","2,741.86","3,240.38","3,738.90","4,486.68"
Noke,"1,519.39","1,772.63","2,025.86","2,279.09","2,785.55","3,292.02","3,798.48","4,558.18"
North Aston,"1,498.45","1,748.20","1,997.94","2,247.68","2,747.16","3,246.65","3,746.13","4,495.36"
North Newington,"1,518.14","1,771.16","2,024.19","2,277.21","2,783.26","3,289.30","3,795.35","4,554.42"
Oddington,"1,495.56","1,744.82","1,994.08","2,243.34","2,741.86","3,240.38","3,738.90","4,486.68"
Piddington,"1,537.81","1,794.12","2,050.42","2,306.72","2,819.32","3,331.93","3,844.53","4,613.44"
Prescote,"1,495.56","1,744.82","1,994.08","2,243.34","2,741.86","3,240.38","3,738.90","4,486.68"
Shenington,"1,512.80","1,764.93","2,017.07","2,269.20","2,773.47","3,277.73","3,782.00","4,538.40"
Shipton on Cherwell,"1,531.34","1,786.56","2,041.79","2,297.01","2,807.46","3,317.90","3,828.35","4,594.02"
Shutford,"1,521.03","1,774.53","2,028.04","2,281.54","2,788.55","3,295.56","3,802.57","4,563.08"
Sibford Ferris,"1,529.55","1,784.47","2,039.40","2,294.32","2,804.17","3,314.02","3,823.87","4,588.64"
Sibford Gower,"1,520.33","1,773.72","2,027.11","2,280.50","2,787.28","3,294.06","3,800.83","4,561.00"
Somerton,"1,576.13","1,838.81","2,101.50","2,364.19","2,889.57","3,414.94","3,940.32","4,728.38"
Souldern,"1,520.88","1,774.36","2,027.84","2,281.32","2,788.28","3,295.24","3,802.20","4,562.64"
South Newington,"1,536.75","1,792.88","2,049.00","2,305.13","2,817.38","3,329.63","3,841.88","4,610.26"
Steeple Aston,"1,551.89","1,810.54","2,069.19","2,327.84","2,845.14","3,362.44","3,879.73","4,655.68"
Stoke Lyne,"1,528.85","1,783.65","2,038.46","2,293.27","2,802.89","3,312.50","3,822.12","4,586.54"
Stratton Audley,"1,534.31","1,790.03","2,045.75","2,301.47","2,812.91","3,324.35","3,835.78","4,602.94"
Swalcliffe,"1,549.25","1,807.46","2,065.67","2,323.88","2,840.30","3,356.72","3,873.13","4,647.76"
Tadmarton,"1,523.85","1,777.82","2,031.80","2,285.77","2,793.72","3,301.67","3,809.62","4,571.54"
Upper Heyford,"1,540.73","1,797.52","2,054.31","2,311.10","2,824.68","3,338.26","3,851.83","4,622.20"
Wardington,"1,529.53","1,784.45","2,039.37","2,294.29","2,804.13","3,313.97","3,823.82","4,588.58"
Wendlebury,"1,521.95","1,775.61","2,029.27","2,282.93","2,790.25","3,297.57","3,804.88","4,565.86"
Weston on the Green,"1,559.68","1,819.63","2,079.57","2,339.52","2,859.41","3,379.31","3,899.20","4,679.04"
Wigginton,"1,514.26","1,766.64","2,019.01","2,271.39","2,776.14","3,280.90","3,785.65","4,542.78"
Wroxton,"1,519.22","1,772.42","2,025.63","2,278.83","2,785.24","3,291.64","3,798.05","4,557.66"
Yarnton,"1,575.11","1,837.62","2,100.14","2,362.66","2,887.70","3,412.73","3,937.77","4,725.32"
